TEAMS,WR1,WR2,WR3,INJURED RESERVE
BUF,Keon Coleman (R),Khalil Shakir,Curtis Samuel,
MIA,Tyreek Hill,Jaylen Waddle,Odell Beckham Jr.,
NE,K.J. Osborn,Demario Douglas,Ja'Lynn Polk (R),
NYJ,Garrett Wilson,Mike Williams,Xavier Gipson,
BAL,Zay Flowers,Rashod Bateman,Nelson Agholor,
CIN,Ja'Marr Chase,Tee Higgins,Jermaine Burton (R),
CLE,Amari Cooper,Jerry Jeudy,Elijah Moore,
PIT,George Pickens,Roman Wilson (R),Quez Watkins,
HOU,Nico Collins,Stefon Diggs,Tank Dell,
IND,Michael Pittman Jr.,Josh Downs,Adonai Mitchell (R),
JAX,Christian Kirk,Gabe Davis,Brian Thomas Jr. (R),
TEN,DeAndre Hopkins,Calvin Ridley,Tyler Boyd,
DEN,Courtland Sutton,Josh Reynolds,Marvin Mims Jr.,
KC,Marquise Brown,Xavier Worthy (R),Justin Watson,
LAC,Joshua Palmer,Ladd McConkey (R),Quentin Johnston,
LV,Davante Adams,Jakobi Meyers,Tre Tucker,
DAL,CeeDee Lamb,Brandin Cooks,Jalen Tolbert,
NYG,Malik Nabers (R),Wan'Dale Robinson,Jalin Hyatt,
PHI,A.J. Brown,DeVonta Smith,Parris Campbell,
WAS,Terry McLaurin,Jahan Dotson,Luke McCaffrey (R),
CHI,DJ Moore,Keenan Allen,Rome Odunze (R),
DET,Amon-Ra St. Brown,Jameson Williams,Kalif Raymond,
GB,Jayden Reed,Romeo Doubs,Christian Watson,
MIN,Justin Jefferson,Jordan Addison,Brandon Powell,
ATL,Drake London,Darnell Mooney,Rondale Moore,
CAR,Diontae Johnson,Adam Thielen,Xavier Legette (R),
NO,Chris Olave,Rashid Shaheed,A.T. Perry,
TB,Mike Evans,Chris Godwin,Jalen McMilllan (R),
ARI,Marvin Harrison Jr. (R),Michael Wilson,Greg Dortch,
LAR,Cooper Kupp,Puka Nacua,Demarcus Robinson,
SEA,DK Metcalf,Tyler Lockett,Jaxon Smith-Njigba,
SF,Deebo Samuel,Brandon Aiyuk,Ricky Pearsall (R),
